product_code,product_name_short,es_diferenciado,product_space_cluster_name,reflections_index_z,fitness_index_z,rank_reflections,rank_fitness
1003,Barley,Undifferentiated product,Agriculture,-0.18114645223113215,-0.42113989420238446,467,494
1005,Corn,Undifferentiated product,Agriculture,-0.9864896332133672,-0.444691576358079,654,506
1006,Rice,Undifferentiated product,Agriculture,-1.5511676933892742,-0.42766093989803294,769,498
1007,Grain sorghum,Undifferentiated product,Agriculture,-1.952546743068924,-0.5331516321067546,800,592
1101,Wheat or meslin flour,Differentiated product,Agriculture,-1.14215824838804,-0.6604019796734845,693,764
1103,Cereal meals,Undifferentiated product,Agriculture,-0.9161064647008912,-0.6037400476464329,640,690
1104,Worked cereal grains,Undifferentiated product,Agriculture,-0.681331988506124,-0.6084987171746207,583,696
1108,Starches,Differentiated product,Agriculture,-0.5727453860779805,-0.4060916682413057,553,480
1201,Soya beans,Undifferentiated product,Agriculture,-1.7287975363902046,-0.5588511888115985,787,632
1202,Peanuts,Undifferentiated product,Agriculture,-2.1035305487519707,-0.6387412164846963,806,740
1205,Rape or colza seeds,Undifferentiated product,Agriculture,0.00993860743945653,-0.4118413198250855,422,486
1206,Sunflower seeds,Undifferentiated product,Agriculture,-0.7436102563367489,-0.5324286986256828,598,589
1207,Other oil seeds,Undifferentiated product,Agriculture,-1.8161941656906828,-0.6686582637893048,790,775
1209,Seeds used for sowing,Undifferentiated product,Agriculture,-1.0677071279948946,-0.6200772569342743,671,713
1211,"Plants used in perfumery, pharmacy or insecticide",Differentiated product,Agriculture,-1.6506908450558069,-0.6953062010533667,781,802
1212,Seaweeds & edible vegetable products,Undifferentiated product,Agriculture,-1.5532807367350532,-0.6718699647146957,770,778
1214,Forage products,Undifferentiated product,Agriculture,-0.41089345833812274,-0.482996519917915,522,541
1302,Vegetable saps and extracts,Differentiated product,Agriculture,-1.1331278985311732,-0.5948743080820149,689,673
1502,"Bovine, sheep and goat fats",Undifferentiated product,Agriculture,-0.7046932812994146,-0.41519777339561975,592,489
1504,Fish oils,Undifferentiated product,Agriculture,-1.1471656831862,-0.6648808180698363,695,771
1507,Soybean oil,Undifferentiated product,Agriculture,-1.440681845482659,-0.5846488701280004,752,660
1511,Palm oil,Undifferentiated product,Agriculture,-1.828354482386474,-0.6623227546563786,792,768
1512,Sunflower seed oil,Undifferentiated product,Agriculture,-1.0116339311863882,-0.5578988567058625,663,629
1513,Coconut & palm kernel oil,Undifferentiated product,Agriculture,-1.4479140308234768,-0.662991155508333,753,769
1514,"Rapeseed, colza or mustard oil,",Undifferentiated product,Agriculture,0.17772689205554532,-0.3345754184250761,385,436
1515,Other vegetable fats and oils,Undifferentiated product,Agriculture,-0.979056046117756,-0.6396716621595625,651,742
1516,"Vegetable fats, hydrogenated",Undifferentiated product,Agriculture,-1.1758206438272627,-0.5340054272757052,703,593
1517,Margarine,Differentiated product,Agriculture,-0.991336699455227,-0.59748226666032,657,677
1518,"Animal or vegetable fats and oils, processed",Undifferentiated product,Agriculture,-0.01100772878386703,-0.24353950475603997,427,390
1519,Stearic acid,Undifferentiated product,Agriculture,-0.3798621105365283,-0.34613760275954086,512,444
1520,Glycerol,Undifferentiated product,Agriculture,-0.2518709434685495,-0.210088699953411,483,376
1601,Sausages,Undifferentiated product,Agriculture,0.22577123159370607,-0.47028505381402985,370,527
1602,Other prepared or preserved meat,Undifferentiated product,Agriculture,0.00678895815250915,-0.5361204521695067,424,595
1604,Prepared or preserved fish,Undifferentiated product,Agriculture,-1.1942940870961618,-0.6492663067536799,710,757
1605,Prepared aquatic invertibrates,Undifferentiated product,Agriculture,-1.5550625578920134,-0.5880241292217019,771,666
1701,Sugarcane & sucrose,Undifferentiated product,Agriculture,-1.58290562738028,-0.6531945097469133,777,760
1702,Other sugars,Undifferentiated product,Agriculture,0.162938944464291,-0.2884932754995626,388,412
1704,Confectionery sugar,Undifferentiated product,Agriculture,-0.5736088423782318,-0.5382103439894574,554,601
1801,Cocoa beans,Undifferentiated product,Agriculture,-2.5934597641569495,-0.7008614603139746,816,805
1803,Cocoa paste,Undifferentiated product,Agriculture,-0.4911386154873183,-0.6154126013707347,536,703
1804,Cocoa butter,Undifferentiated product,Agriculture,-0.7701927737976613,-0.6182741816958414,608,709
1805,Cocoa powder,Undifferentiated product,Agriculture,-0.2688095123053001,-0.39812215677390145,488,477
