country,reflections_index,fitness_index,eigenvalues_index,reflections_index_z,fitness_index_z,eigenvalues_index_z
AFG,-1.312839196890627,0.134251886589173,-1.3258554555542585,-1.3128391968677502,-0.7554900249407931,-1.3258554555542585
AGO,-0.8028867072385547,0.011995534306573418,-0.7456948941622902,-0.8028867072156777,-0.8621763153345001,-0.7456948941622902
ALB,-0.5407198394025614,0.5206891136397674,-0.5777014510589981,-0.5407198393796844,-0.41826784012736296,-0.5777014510589981
ARE,0.3964289984115199,0.7649176171800218,0.4057377101298577,0.3964289984343971,-0.2051432657012655,0.40573771012985776
ARG,-0.18645468773510424,0.503200133737625,-0.17703947442323203,-0.18645468771222715,-0.43352949609609936,-0.17703947442323198
ARM,0.10796748140171739,0.7888216000717418,0.08712891504127461,0.10796748142459453,-0.18428359491330257,0.08712891504127465
AUS,-0.6999210311370123,0.2925007417208264,-0.674477566356966,-0.6999210311141353,-0.6173950875585483,-0.674477566356966
AUT,1.694144315642415,3.785417335249973,1.6955526380049353,1.6941443156652922,2.4306781377644535,1.6955526380049353
AZE,-0.6171281091978563,0.04650215189356234,-0.5923746056014302,-0.6171281091749793,-0.8320643174247272,-0.5923746056014302
BEL,1.1725514343133723,2.433270181842417,1.1848171863372057,1.1725514343362495,1.2507348369042142,1.1848171863372057
BEN,-0.5998345193683847,0.1400975739061958,-0.593213056783085,-0.5998345193455077,-0.7503888201116722,-0.593213056783085
BFA,-0.6512828928367266,0.19910189834048547,-0.6518223382199492,-0.6512828928138495,-0.6988990416784817,-0.6518223382199492
BGD,-0.9516097586549278,0.2851939079988014,-1.0362748491943883,-0.9516097586320508,-0.6237713532475864,-1.0362748491943883
BGR,0.638469985174256,1.9636720764485696,0.6246366621501777,0.6384699851971333,0.8409427982494406,0.6246366621501777
BHR,0.6176450376023153,0.40633226120266175,0.6327532066631864,0.6176450376251925,-0.5180606782075794,0.6327532066631864
BIH,0.45368870322694066,1.244475866685931,0.43057615934153326,0.45368870324981786,0.21334043442764003,0.4305761593415333
BLR,0.7285932258535724,1.0345096695071474,0.7331987687565286,0.7285932258764497,0.030114661150039437,0.7331987687565286
BOL,-0.9968524772767715,0.11108170928651702,-0.981610410568084,-0.9968524772538945,-0.7757093445755787,-0.981610410568084
BRA,-0.05981565977890417,0.6614313763499216,-0.044172687185058596,-0.059815659756027054,-0.2954499281758055,-0.044172687185058554
BWA,-0.9608318599308432,0.04623086276429258,-0.9617005075880813,-0.9608318599079662,-0.8323010562958415,-0.9617005075880813
CAN,0.5658314996571866,1.218818283079366,0.5848996308137968,0.5658314996800639,0.190950494237674,0.5848996308137968
CHE,2.3644413300098455,2.6313947254540415,2.379315571568058,2.364441330032723,1.423627060492001,2.379315571568058
CHL,-0.5239704267849024,0.30928549504115027,-0.5188012044010905,-0.5239704267620253,-0.6027479707954083,-0.5188012044010905
CHN,1.2717552896826128,5.642645433388392,1.25326978847743,1.27175528970549,4.051377369386699,1.25326978847743
CIV,-0.634926083476249,0.1201039063915895,-0.6219278817752166,-0.634926083453372,-0.7678361770683716,-0.6219278817752166
CMR,-1.246896561139672,0.03177282486525353,-1.2217375020603107,-1.2468965611167953,-0.8449177784621843,-1.2217375020603107
COD,-2.176497970802171,0.014332718097902314,-2.1238873901781723,-2.176497970779294,-0.8601367855758435,-2.1238873901781723
COG,-1.6823240105745734,0.010546041626163953,-1.62235376170644,-1.6823240105516966,-0.8634412066398472,-1.62235376170644
COL,0.07628382256593663,0.4969975698368162,0.07568115170991606,0.07628382258881378,-0.4389421271876733,0.0756811517099161
CRI,0.2944089944383475,0.6066153311608828,0.28873422210088323,0.2944089944612247,-0.34328482923480513,0.2887342221008833
CYP,0.36461621789156706,0.5085582526427486,0.37636366433920965,0.36461621791444426,-0.42885376498844563,0.3763636643392097
CZE,1.7730160261078851,3.007558239346721,1.7700608448004973,1.7730160261307624,1.751883949638394,1.7700608448004973
DEU,2.0482859919581475,5.135477727001336,2.0575721863830343,2.0482859919810252,3.6088004382768304,2.0575721863830343
DNK,0.9361498623031183,2.301028008799647,0.9233566857533763,0.9361498623259955,1.1353344784596586,0.9233566857533763
DOM,-0.006401652949782428,0.7778582622202717,-0.030909348565318327,-0.0064016529269053015,-0.19385068753359125,-0.030909348565318285
DZA,-0.8970372388432521,0.020180307760875767,-0.8677232810274934,-0.8970372388203751,-0.8550339206756609,-0.8677232810274934
ECU,-0.7929397809848282,0.14828506530670726,-0.7992663825707629,-0.7929397809619512,-0.7432440536529786,-0.7992663825707629
EGY,-0.21702326810459016,0.9623663116852734,-0.2320412839393265,-0.21702326808171307,-0.03284081788118808,-0.23204128393932644
ESP,0.7591708581097348,3.1647695803089357,0.7523432490973426,0.7591708581326121,1.8890735063520543,0.7523432490973426
EST,0.9922078108092433,1.9559410207393384,0.9924646506899573,0.9922078108321205,0.8341963377257501,0.9924646506899573
FIN,1.4625934368042246,1.888726412449752,1.480542097346725,1.4625934368271019,0.7755419031315758,1.480542097346725
FRA,1.3776796563541174,3.39987852800449,1.3820317740572787,1.3776796563769946,2.0942399537365373,1.3820317740572787
GAB,-0.38333351820324557,0.046046222591297,-0.34323749271022974,-0.3833335181803685,-0.8324621814623197,-0.3432374927102297
GBR,1.852267178860866,2.8684043227426805,1.8670810687671477,1.8522671788837433,1.6304520986215751,1.8670810687671477
GEO,-0.37552323377641045,0.3545598846385941,-0.38289108039422015,-0.37552323375353336,-0.563239539652087,-0.3828910803942201
GHA,-0.5346923426875588,0.2807288751683049,-0.5305097521803644,-0.5346923426646818,-0.6276677380184216,-0.5305097521803644
